Name,ID,Experiment,Season,Beh.Cat,Condition,HR_Increase,mean10s
Livvie,14,Control,autumn,Low,control,NA,44.32207571
Livvie,14,Novel_Object,autumn,Low,dropObj,0.38272,38.331765
Livvie,14,Novel_Object,autumn,Low,presentationObj,3.70822,45.39252286
Livvie,14,Novel_Object,autumn,Low,removeObj,-0.67069,43.68499286
Livvie,14,Pre_Feeding,autumn,Low,before,5.11216,42.85156143
Livvie,14,Pre_Feeding,autumn,Low,foodPresentation,5.29392,41.53553857
Livvie,14,Control,summer,Low,control,32.75408,59.81672222
Livvie,14,Novel_Object,summer,Low,dropObj,NA,45.34095714
Livvie,14,Novel_Object,summer,Low,presentationObj,-0.20,33.66344167
Livvie,14,Novel_Object,summer,Low,removeObj,NA,40.277382
Livvie,14,Pre_Feeding,summer,Low,before,NA,62.446025
Livvie,14,Pre_Feeding,summer,Low,foodPresentation,19.76473,64.13340778
Lock,15,Control,autumn,Low,control,NA,46.35006875
Lock,15,Novel_Object,autumn,Low,dropObj,10.36801,50.25586333
Lock,15,Novel_Object,autumn,Low,presentationObj,14.81911,57.660275
Lock,15,Novel_Object,autumn,Low,removeObj,15.34592,52.81389444
Lock,15,Pre_Feeding,autumn,Low,before,80.41301,87.321275
Lock,15,Pre_Feeding,autumn,Low,foodPresentation,9.96217,32.30548333
Lock,15,Control,summer,Low,control,31.93946,60.877968
Lock,15,Novel_Object,summer,Low,dropObj,1.97876,37.944895
Lock,15,Novel_Object,summer,Low,presentationObj,NA,72.46916667
Lock,15,Novel_Object,summer,Low,removeObj,-3.94,59.05475667
Lock,15,Pre_Feeding,summer,Low,before,NA,36.76923
Lock,15,Pre_Feeding,summer,Low,foodPresentation,8.35,39.34948857
Lucy,16,Control,autumn,Low,control,NA,44.45927429
Lucy,16,Novel_Object,autumn,Low,dropObj,6.10821,48.2470225
Lucy,16,Novel_Object,autumn,Low,presentationObj,9.69798,45.3942475
Lucy,16,Novel_Object,autumn,Low,removeObj,44.04775,49.39464143
Lucy,16,Pre_Feeding,autumn,Low,before,13.27389,43.445194
Lucy,16,Pre_Feeding,autumn,Low,foodPresentation,91.33715,83.95284444
Lucy,16,Control,summer,High,control,36.73372,65.424583
Lucy,16,Novel_Object,summer,High,dropObj,NA,45.35693429
Lucy,16,Novel_Object,summer,High,presentationObj,14.01655,50.77213143
Lucy,16,Pre_Feeding,summer,High,before,NA,43.28939333
Lucy,16,Pre_Feeding,summer,High,foodPresentation,5.21614,41.33008857
Mario,17,Control,autumn,Low,control,NA,27.6520825
Mario,17,Novel_Object,autumn,Low,dropObj,17.35769,53.04727889
Mario,17,Novel_Object,autumn,Low,presentationObj,0.04418,28.273414
Mario,17,Novel_Object,autumn,Low,removeObj,3.30824,38.30072167
Mario,17,Pre_Feeding,autumn,Low,before,8.4573,45.87764125
Mario,17,Pre_Feeding,autumn,Low,foodPresentation,11.70855,57.119727
Mario,17,Control,summer,High,control,49.65791,76.044806
Mario,17,Novel_Object,summer,High,dropObj,NA,39.07799833
Mario,17,Novel_Object,summer,High,presentationObj,34.91,62.913112
Mario,17,Novel_Object,summer,High,removeObj,NA,73.281125
Mario,17,Pre_Feeding,summer,Low,before,NA,38.578665
Mario,17,Pre_Feeding,summer,Low,foodPresentation,7.64,38.84146857
Prince,18,Control,autumn,Low,control,NA,67.88285667
Prince,18,Novel_Object,autumn,Low,dropObj,27.48425,50.79755714
Prince,18,Novel_Object,autumn,Low,presentationObj,-1.06625,41.71239
Prince,18,Novel_Object,autumn,Low,removeObj,2.92893,44.30890625
Prince,18,Pre_Feeding,autumn,High,before,15.71749,48.94149625
Prince,18,Pre_Feeding,autumn,High,foodPresentation,5.99913,45.19058714
Prince,18,Control,summer,Low,control,32.43894,56.75184778
Prince,18,Novel_Object,summer,Low,dropObj,5.98446,63.979016
Prince,18,Novel_Object,summer,Low,presentationObj,NA,50.8287125
Prince,18,Novel_Object,summer,Low,removeObj,7.66,50.65052889
Prince,18,Pre_Feeding,summer,High,before,NA,39.92322167
Prince,18,Pre_Feeding,summer,High,foodPresentation,59.04849,59.90922429
Sandie,19,Control,autumn,Low,control,NA,28.10183
Sandie,19,Novel_Object,autumn,Low,dropObj,2.41371,43.12867429
Sandie,19,Novel_Object,autumn,Low,presentationObj,2.07662,41.88535
Sandie,19,Novel_Object,autumn,Low,removeObj,43.14987,70.16971889
Sandie,19,Pre_Feeding,autumn,Low,before,14.37912,47.41555875
Sandie,19,Pre_Feeding,autumn,Low,foodPresentation,4.44056,45.72277
Sandie,19,Control,summer,High,control,44.50441,75.37562556
